q X11 X12 X21 X22 X31 X32 X33
1 0 1 0 1 0 0.5 2.18
2 0.1 0.9 0.19 0.91 0.18 0.6 2.22
3 0.2 0.8 0.29 0.81 0.28 0.7 2.23
4 0.3 0.7 0.39 0.71 0.38 0.8 2.24
5 0.4 0.6 0.49 0.61 0.48 0.9 2.28
6 0.5 0.5 0.59 0.51 0.58 1 2.32
7 0.6 0.4 0.69 0.41 0.68 0.4 2.17
8 0.7 0.3 0.79 0.31 0.78 0.3 2.19
9 0.8 0.2 0.89 0.21 0.88 0.2 2.21
10 0.9 0.1 0.99 0.11 0.98 0.1 2.25
11 1 0 1 0 1 0 2.19
12 2 1.5 1.8 1.1 2 1.2 6.47
13 1.2 1.3 1.4 1.5 1.6 1.7 5.52
14 0.8 0.1 0.7 0.6 0.5 0.6 1.95
15 0.7 0.2 0.6 0.7 0.4 0.7 1.98
16 0.6 0.3 0.5 0.8 0.3 0.8 2.01
17 0.5 0.4 0.4 0.9 0.2 0.9 2.07
18 0.4 0.5 0.3 1 0.1 1 2.13
19 0.3 0.6 0.2 1.8 0 1.1 2.71
20 0.2 0.7 0.1 0 1.1 1.2 2.80
21 0.1 0.8 0 0.1 0.3 0.5 1.89
22 0 0.9 1.1 0.2 0.4 0.4 2.20
23 0.9 1 1.5 0.3 0.5 0.3 2.79
24 1.8 1.1 1.9 0.4 0.6 0.2 3.39
25 0.1 1.2 1.9 1.3 0.7 0.1 3.26
26 0 1.3 0.2 0.5 0.8 0 2.67
27 0.7 0.6 0.5 0.4 0.3 0.2 2.01
28 0.6 0.5 0.4 0.3 0.4 0.4 1.96
29 0.5 0.4 0.3 0.2 0.5 0.6 1.92
30 0.4 0.3 0.2 0.1 0.6 0.8 1.90
31 0.3 0.2 0.1 0 0.7 1 1.89
32 0.2 0.1 0 1.5 0.8 1.2 2.50
33 0.1 0 0.4 1.3 0.9 1.4 2.48
34 0 0.3 1.3 1.1 1 1.6 2.94
35 0.5 0.4 0.5 0.9 1.1 1.8 3.16
36 0.4 0.5 0.4 0.7 1.2 2 3.30
37 0.3 0.6 0.3 0.5 1.3 0.8 3.04
38 0.2 0.7 0.25 0.3 1.4 0.3 3.04
39 0.1 0.8 0.14 0.1 1.5 0.4 3.23
40 0 0.9 0.03 0 1.6 0.1 3.33
